type,amount,oldbalanceOrg,newbalanceOrig,isFraud
2,456360.87,456360.87,0.0,1
2,146729.67,146729.67,0.0,1
1,10000000.0,15999376.79,5999376.79,1
1,702265.02,215108.0,0.0,0
2,54375.31,55330.0,954.69,0
1,767879.02,767879.02,0.0,1
0,1000.24,0.0,0.0,0
4,316048.66,362.0,316410.66,0
2,128718.59,128718.59,0.0,1
2,10000000.0,10000000.0,0.0,1
1,201511.93,201511.93,0.0,1
0,11246.09,0.0,0.0,0
1,175807.44,118975.18,0.0,0
1,479892.04,479892.04,0.0,1
1,4631432.03,4631432.03,0.0,1
1,88099.88,88099.88,0.0,1
4,252029.83,1116.0,253145.83,0
4,267849.48,0.0,267849.48,0
1,82112.74,82112.74,0.0,1
1,4896179.38,4896179.38,0.0,1
2,245694.84,245694.84,0.0,1
0,8891.73,102789.0,93897.27,0
2,62445.4,18080.22,0.0,0
4,234661.64,2187923.33,2422584.96,0
1,732198.35,732198.35,0.0,1
1,352179.76,352179.76,0.0,1
2,365099.76,365099.76,0.0,1
0,11799.02,9660.3,0.0,0
4,521057.46,75950.0,597007.46,0
1,1035859.53,146797.0,0.0,0
0,8754.63,0.0,0.0,0
4,37286.73,5958378.33,5995665.06,0
2,258927.4,100983.0,0.0,0
2,550231.35,550231.35,0.0,1
1,251118.04,251118.04,0.0,1
2,131218.67,0.0,0.0,0
0,2100.33,170623.0,168522.67,0
4,526294.45,482900.0,1009194.45,0
2,300972.46,0.0,0.0,0
2,460434.46,460434.46,0.0,1
2,15016.08,29700.0,14683.92,0
2,106542.41,60113.0,0.0,0
1,283400.42,283400.42,0.0,1
1,207261.07,207261.07,0.0,1
4,170808.94,101654.22,272463.16,0
1,5271.46,5271.46,0.0,1
1,188731.21,188731.21,0.0,1
2,87442.11,0.0,0.0,0
2,162192.84,11274.0,0.0,0
1,3774746.08,3774746.08,0.0,1
2,132107.79,0.0,0.0,0
1,1226390.31,1226390.31,0.0,1
1,740124.95,740124.95,0.0,1
1,438139.79,438139.79,0.0,1
1,380214.33,380214.33,0.0,1
0,1720.69,0.0,0.0,0
0,8872.29,0.0,0.0,0
0,3850.7,329.0,0.0,0
0,4322.33,0.0,0.0,0
2,99468.9,14601.0,0.0,0
2,256594.81,45522.0,0.0,0
1,524220.25,19861.0,0.0,0
2,70072.66,70072.66,0.0,1
2,222.0,222.0,0.0,1
2,1676936.79,1676936.79,0.0,1
4,319252.17,24941.0,344193.17,0
2,429359.76,429359.76,0.0,1
2,939518.05,939518.05,0.0,1
4,372925.01,4951183.31,5324108.32,0
